,Barrios,city_coord,latitud,longitud
95,Pueblo Nuevo,"Pueblo Nuevo, Calle Hermanos de Pablo, Quintana, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4350329,-3.644171
96,Atalaya,"Atalaya, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.464389,-3.6651106
97,Quintana,"Quintana, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4356576,-3.6471022
98,San Juan Bautista,"San Juan Bautista, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4506953,-3.6563079
99,Ciudad Lineal,"Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4484305,-3.650495
100,Costillares,"Costillares, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4760473,-3.6685122
101,Concepción,"Concepción, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4382057,-3.6495784
102,Colina,"Colina, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4580463,-3.6602556
103,San Pascual,"San Pascual, Ciudad Lineal, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4426834,-3.6534541
104,Chamartín,"Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4589872,-3.6761288
105,El Viso,"El Viso, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4448882,-3.6847127
106,Nueva España,"Nueva España, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4625939,-3.6787346
107,Bernabéu-Hispanoamérica,"Estadio Santiago Bernabéu, Calle de Rafael Salgado, Hispanoamérica, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.453051200000004,-3.6875462894280093
108,Prosperidad,"Prosperidad, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.443946,-3.6701659
109,Castilla,"Castilla, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4763551,-3.6800358
110,Ciudad Jardín,"Ciudad Jardín, Chamartín, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4487115,-3.6738706
111,Lavapiés-Embajadores,"Lavapiés, Plaza de Lavapiés, Lavapiés, Embajadores, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28012, España",40.4084633,-3.7007946
112,Opañel,"Opañel, Calle de Portalegre, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3869292,-3.7231777
113,Comillas,"Universidad Pontificia Comillas - ICADE, 23, Calle de Alberto Aguilera, Arapiles, Chamberí, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28015, España",40.42956205,-3.7114546554076266
114,Abrantes,"Abrantes, Avenida de Abrantes, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3809981,-3.7279849
115,San Isidro,"San Isidro, Distrito I, Alcalá de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28807, España",40.4868083,-3.3624333
116,Carabanchel,"Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3742112,-3.744676
117,Puerta Bonita,"Puerta Bonita, Calle del General Ricardos, Colonia de la Prensa, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3864775,-3.7345594
118,Vista Alegre,"Vista Alegre, Calle de la Oca, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3888034,-3.7400577
119,Pau de Carabanchel,"Calle Hospital de San Pau, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3693742,-3.7626949
120,Buena Vista,"Madrid, Buena Vista, Agropecuaria Emiliano Zapata, El Carmen, Nuevo León, México",25.8583667,-100.3739785
121,Huertas-Cortes,"Calle de las Huertas, Cortes, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, España",40.4132746,-3.6970259
122,Malasaña-Universidad,"Malasaña, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4267079,-3.7042311
123,Chueca-Justicia,"Chueca, Justicia, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4227415,-3.6993271
124,Palacio,"Palacio, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.41512925,-3.7156179983990922
125,Centro,"Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.417652700000005,-3.7079137662915533
126,Sol,"Sol, Puerta del Sol, Sol, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28013, España",40.4169467,-3.7034891
128,Goya,"Goya, Calle de Goya, Goya, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4248165,-3.6758426
129,Guindalera,"Guindalera, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.436356,-3.6680189
130,Lista,"Lista, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4326938,-3.6745087
131,Castellana,"Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4333241,-3.6841316
132,Fuente del Berro,"Fuente del Berro, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.424977,-3.6636998
133,Recoletos,"Recoletos, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4243637,-3.6857429
134,Imperial,"Imperial, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4069288,-3.71732197218085
135,Chopera,"Chopera, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.39489315,-3.6997051134630077
136,Acacias,"Acacias, Paseo de las Acacias, Arganzuela, Las Acacias, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28005, España",40.4040749,-3.7059572
137,Delicias,"Delicias, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.39729215,-3.6894948496947286
138,Palos de Moguer,"Palos de Moguer, Arganzuela, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.40363845,-3.6952890284051163
139,Legazpi,"Legazpi, Bypass Sur, Arganzuela, Chopera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3911717,-3.6951902
140,Arganzuela,"Arganzuela, Chopera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3969535,-3.6972891
142,Alameda de Osuna,"Alameda de Osuna, Calle de La Rioja, Barrio del Aeropuerto, Barajas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4575814,-3.5879745
143,Barajas,"Barajas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4733176,-3.5798446
145,Timón,"Timón, 7, Calle de Gabino Jimeno, Moscardó, Usera, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28026, España",40.3863375,-3.7069729
